标题,描述,内容,发布时间,分类,作者,当前链接,上级链接,下载时间
受累周边跌势 2016年首个交易日澳大利亚股市以跌..,FX168讯 周一（1月4日）澳大利亚股票回吐涨幅收盘时下跌0.5%，银行股领跌，因中国股市大跌抑制了市场的风险偏好。   澳大利亚S&P/ASX 200指数的收盘价下跌了23.36点，至5270....,"
新浪财经
会议讲座
>
2015中国国际石油化工大会
>
正文
-->
外汇
>
正文-->
&gt;
正文
行情
股吧
新闻
外汇
受累周边跌势 2016年首个交易日澳大利亚股市以跌势作收
2016年01月04日15:30
FX168
分享
添加喜爱
打印
增大字体
减小字体
视频加载中，请稍候...
自动播放
play
中国将继续放宽外资准入
向前
向后
-->
　　FX168讯 周一（1月4日）澳大利亚股票回吐涨幅收盘时下跌0.5%，银行股领跌，因中国股市大跌抑制了市场的风险偏好。
　　澳大利亚S&amp;P/ASX 200指数的收盘价下跌了23.36点，至5270.50点，基准指数盘中上升了0.7%。
　　2015年澳大利亚基准指数下跌了2.1%，为四年来首次录得年线跌幅，因铁矿石和金属价格下滑对蓝筹矿业股造成冲击，繁重的资本规则也抑制了权重银行类股的表现。
　　新西兰的S&amp;P / NZX 50指数因为假期休市周二将重新开放市场。
　　校对：长阳
进入
【新浪财经股吧】
讨论
我要反馈
保存网页
分享
添加喜爱
打印
增大字体
减小字体
新浪理财师推荐
观摩专业理财师操盘 跟买跟卖赚大钱&gt;&gt;
更多理财师
相关阅读
聚焦
应用中心
新浪公益
新浪游戏
互动活动
热点推荐
一生良师益友：海词词典
保护隐私与安全：应用锁
股民的第一选择：同花顺
定位家人的位置：跟屁虫
私人大游艇：快来造船吧
一个人狩猎：狙击手猎鹿
和敌人战斗：萌军飞行队
恐怖的对决：CS反恐精英
路程全掌握：凯立德导航
高清图片分享：奇思壁纸
捕捉精彩瞬间：特效相机
有热度有态度：人民日报
飞越天际：飞天滑板高手
等你征服：叛乱武士之战
魔幻旅：小小魔兽大战争
斗魂：超合体魔术机器人
微博益起来感恩行动
2013捐一元爱心送营养
2013壹基金公益映像节
水立方中国公益平台
阿里巴巴公益广告大赛
思源方舟防灾减灾
2013爱佑慈善晚宴
佳能影像公益
贫困儿童图书漂流箱项目
福特汽车环保奖
女童权益保护全球行动
奔驰自然保护项目
佳能希望小学色彩教室
卡夫希望厨房
妇基会母亲包邮活动
微博-达人通
《九阴真经》唯我独尊礼包
《梦幻西游手游版》夏日情谊卡
《星际战甲》新浪高级特权礼包
《问道》天书奇谭至尊礼包
《新倩女幽魂》新浪特权礼包
《热血传奇》15周年专区礼包
《大话西游2》人气公测礼包
《倩女幽魂2》新浪1888元白金卡
《第三把剑》新浪特权皇钻礼包
《奇迹MU》 新浪独家礼包
《龙门虎将》新浪定制礼包
《虎豹骑》二次测试码
角色扮演类新手卡
射击类游戏新手卡
动作类游戏新手卡
策略类游戏新手卡
新浪专栏：读名家知天下
想成为专栏作家？戳这里
强势围观！政务微博大事件！
快来看！湖南微博有大事！
最火博文 大家都在看
一大波台湾美食正在向你逼近！
[财经]股市行情查询
[财经]理财计算器
[科技]数码产品库
[视频]最热影视大片
[旅游]国内外景点查询
[育儿]育儿实用工具库
[汽车]车型查询
[女性]化妆品产品库
[星座]星座运势查询
[娱乐]影讯查询
[娱乐]电视节目表
[教育]大学院校查询
·
城市热点节庆活动
·
新浪《对话城市》
·
诚招合作伙伴
·
新企邮上线更优惠
新浪扶翼
行业专区
close
新浪简介
┊
About Sina
┊
广告服务
┊
联系我们
┊
招聘信息
┊
网站律师
┊
SINA English
┊
通行证注册
┊
产品答疑
Copyright
©
1996-2015 SINA Corporation, All Rights Reserved
新浪公司
版权所有
",2016-01-04T07:42:59.000Z,财经最新,新浪,http://finance.sina.com.cn/money/forex/datafx/2016-01-04/doc-ifxneept3659083.shtml,http://news.baidu.com/n?cmd=4&class=finannews&tn=rss,2016-01-04 15:45:39
NBFforex：受原油下跌拖累 日央行料将下调通胀预期,"



近日有报道称，日本央行预计将下调始于4月份财政年度的通胀率预期，如果原油价格维持低位，可能会推迟通胀率达到2%目标的预期时间。日内将有欧元区12月制造业PMI公布。   欧元/美元：   从日线上看...","
新浪财经
会议讲座
>
2015中国国际石油化工大会
>
正文
-->
外汇
>
正文-->
&gt;
正文
行情
股吧
新闻
外汇
NBFforex：受原油下跌拖累 日央行料将下调通胀预期
2016年01月04日15:30
FX168
分享
添加喜爱
打印
增大字体
减小字体
视频加载中，请稍候...
自动播放
play
中国将继续放宽外资准入
向前
向后
-->
　　近日有报道称，日本
央行
预计将下调始于4月份财政年度的通胀率预期，如果原油价格维持低位，可能会推迟通胀率达到2%目标的预期时间。日内将有欧元区12月制造业PMI公布。
　　欧元/美元：
　　从日线上看，上周四亚市开盘后震荡反弹，欧市盘初触及1.0935一线承压下行，盘中在利空因素打压下扩大跌幅，今日开盘后继续走低，目前随机指标偏下，日内料将震荡下行。
　　支撑阻力方面，支撑位于1.0810密集支撑区，1.0750一线，1.0690关口，阻力位于1.0920布林中轨处，1.0980密集压力区，1.1040布林上轨处。
　　美元/日元：
　　从日线上看，上周四亚市开盘后继续走低，盘中在利空因素打压下扩大跌幅，至收盘回落至120.00一线略有反复，今日开盘后小幅反弹，目前随机指标偏上，日内料将震荡调整。
　　支撑阻力方面，支撑位于119.60密集支撑区，119.00一线，118.40关口，阻力位于120.80密集压力区，121.40布林中轨处，122.00一线。
　　2016-01-04
进入
【新浪财经股吧】
讨论
我要反馈
保存网页
分享
添加喜爱
打印
增大字体
减小字体
新浪理财师推荐
观摩专业理财师操盘 跟买跟卖赚大钱&gt;&gt;
更多理财师
相关阅读
聚焦
应用中心
新浪公益
新浪游戏
互动活动
热点推荐
一生良师益友：海词词典
保护隐私与安全：应用锁
股民的第一选择：同花顺
定位家人的位置：跟屁虫
私人大游艇：快来造船吧
一个人狩猎：狙击手猎鹿
和敌人战斗：萌军飞行队
恐怖的对决：CS反恐精英
路程全掌握：凯立德导航
高清图片分享：奇思壁纸
捕捉精彩瞬间：特效相机
有热度有态度：人民日报
飞越天际：飞天滑板高手
等你征服：叛乱武士之战
魔幻旅：小小魔兽大战争
斗魂：超合体魔术机器人
微博益起来感恩行动
2013捐一元爱心送营养
2013壹基金公益映像节
水立方中国公益平台
阿里巴巴公益广告大赛
思源方舟防灾减灾
2013爱佑慈善晚宴
佳能影像公益
贫困儿童图书漂流箱项目
福特汽车环保奖
女童权益保护全球行动
奔驰自然保护项目
佳能希望小学色彩教室
卡夫希望厨房
妇基会母亲包邮活动
微博-达人通
《九阴真经》唯我独尊礼包
《梦幻西游手游版》夏日情谊卡
《星际战甲》新浪高级特权礼包
《问道》天书奇谭至尊礼包
《新倩女幽魂》新浪特权礼包
《热血传奇》15周年专区礼包
《大话西游2》人气公测礼包
《倩女幽魂2》新浪1888元白金卡
《第三把剑》新浪特权皇钻礼包
《奇迹MU》 新浪独家礼包
《龙门虎将》新浪定制礼包
《虎豹骑》二次测试码
角色扮演类新手卡
射击类游戏新手卡
动作类游戏新手卡
策略类游戏新手卡
新浪专栏：读名家知天下
想成为专栏作家？戳这里
强势围观！政务微博大事件！
快来看！湖南微博有大事！
最火博文 大家都在看
一大波台湾美食正在向你逼近！
[财经]股市行情查询
[财经]理财计算器
[科技]数码产品库
[视频]最热影视大片
[旅游]国内外景点查询
[育儿]育儿实用工具库
[汽车]车型查询
[女性]化妆品产品库
[星座]星座运势查询
[娱乐]影讯查询
[娱乐]电视节目表
[教育]大学院校查询
·
城市热点节庆活动
·
新浪《对话城市》
·
诚招合作伙伴
·
新企邮上线更优惠
新浪扶翼
行业专区
close
新浪简介
┊
About Sina
┊
广告服务
┊
联系我们
┊
招聘信息
┊
网站律师
┊
SINA English
┊
通行证注册
┊
产品答疑
Copyright
©
1996-2015 SINA Corporation, All Rights Reserved
新浪公司
版权所有
",2016-01-04T07:42:59.000Z,财经最新,新浪,http://finance.sina.com.cn/money/forex/datafx/2016-01-04/doc-ifxncyar6289588.shtml,http://news.baidu.com/n?cmd=4&class=finannews&tn=rss,2016-01-04 15:45:40
NBFforex：中国12月PMI数据好坏不一 引发外界臆..,"



周六中国方面发布的数据显示，中国12月官方制造业PMI 49.7，预期49.8，前值49.6。   中国12月官方非制造业PMI 54.4，为2014年8月以来最高水准，前值53.6。引发外界臆测纷...","
新浪财经
会议讲座
>
2015中国国际石油化工大会
>
正文
-->
外汇
>
正文-->
&gt;
正文
行情
股吧
新闻
外汇
NBFforex：中国12月PMI数据好坏不一 引发外界臆测纷纷
2016年01月04日15:30
FX168
分享
添加喜爱
打印
增大字体
减小字体
视频加载中，请稍候...
自动播放
play
中国将继续放宽外资准入
向前
向后
-->
　　周六中国方面发布的数据显示，中国12月官方制造业PMI 49.7，预期49.8，前值49.6。
　　中国12月官方非制造业PMI 54.4，为2014年8月以来最高水准，前值53.6。引发外界臆测纷纷。
　　澳元/美元:
　　从日线上看，上周四亚市开盘后继续走高，欧盘时段触及0.7326一线承压下行，纽约盘时段回落至0.7267一线略有反复，今日开盘后小幅回落，目前随机指标偏下，日内料将震荡调整。
　　支撑阻力方面，支撑位于0.7240密集支撑区，0.7180密集支撑区，0.7120一线，阻力位于0.7340布林上轨处，0.7400一线，0.7460关口。
　　美元/加元:
　　从日线上看，上周四亚市开盘后震荡反弹，欧盘时段触及1.3902一线承压下行，今日开盘后震荡反弹， 目前随机指标偏上，日内料将震荡调整。
　　支撑阻力方面，支撑位于1.3800密集支撑区，1.3740一线，1.3680关口，阻力位于1.3920密集压力区，1.3980一线，1.4040关口。
　　2016-01-04
进入
【新浪财经股吧】
讨论
我要反馈
保存网页
分享
添加喜爱
打印
增大字体
减小字体
新浪理财师推荐
观摩专业理财师操盘 跟买跟卖赚大钱&gt;&gt;
更多理财师
相关阅读
聚焦
应用中心
新浪公益
新浪游戏
互动活动
热点推荐
一生良师益友：海词词典
保护隐私与安全：应用锁
股民的第一选择：同花顺
定位家人的位置：跟屁虫
私人大游艇：快来造船吧
一个人狩猎：狙击手猎鹿
和敌人战斗：萌军飞行队
恐怖的对决：CS反恐精英
路程全掌握：凯立德导航
高清图片分享：奇思壁纸
捕捉精彩瞬间：特效相机
有热度有态度：人民日报
飞越天际：飞天滑板高手
等你征服：叛乱武士之战
魔幻旅：小小魔兽大战争
斗魂：超合体魔术机器人
微博益起来感恩行动
2013捐一元爱心送营养
2013壹基金公益映像节
水立方中国公益平台
阿里巴巴公益广告大赛
思源方舟防灾减灾
2013爱佑慈善晚宴
佳能影像公益
贫困儿童图书漂流箱项目
福特汽车环保奖
女童权益保护全球行动
奔驰自然保护项目
佳能希望小学色彩教室
卡夫希望厨房
妇基会母亲包邮活动
微博-达人通
《九阴真经》唯我独尊礼包
《梦幻西游手游版》夏日情谊卡
《星际战甲》新浪高级特权礼包
《问道》天书奇谭至尊礼包
《新倩女幽魂》新浪特权礼包
《热血传奇》15周年专区礼包
《大话西游2》人气公测礼包
《倩女幽魂2》新浪1888元白金卡
《第三把剑》新浪特权皇钻礼包
《奇迹MU》 新浪独家礼包
《龙门虎将》新浪定制礼包
《虎豹骑》二次测试码
角色扮演类新手卡
射击类游戏新手卡
动作类游戏新手卡
策略类游戏新手卡
新浪专栏：读名家知天下
想成为专栏作家？戳这里
强势围观！政务微博大事件！
快来看！湖南微博有大事！
最火博文 大家都在看
一大波台湾美食正在向你逼近！
[财经]股市行情查询
[财经]理财计算器
[科技]数码产品库
[视频]最热影视大片
[旅游]国内外景点查询
[育儿]育儿实用工具库
[汽车]车型查询
[女性]化妆品产品库
[星座]星座运势查询
[娱乐]影讯查询
[娱乐]电视节目表
[教育]大学院校查询
·
城市热点节庆活动
·
新浪《对话城市》
·
诚招合作伙伴
·
新企邮上线更优惠
新浪扶翼
行业专区
close
新浪简介
┊
About Sina
┊
广告服务
┊
联系我们
┊
招聘信息
┊
网站律师
┊
SINA English
┊
通行证注册
┊
产品答疑
Copyright
©
1996-2015 SINA Corporation, All Rights Reserved
新浪公司
版权所有
",2016-01-04T07:42:59.000Z,财经最新,新浪,http://finance.sina.com.cn/money/forex/datafx/2016-01-04/doc-ifxncyar6289591.shtml,http://news.baidu.com/n?cmd=4&class=finannews&tn=rss,2016-01-04 15:45:40
新年日本股市开张迎来3个月以来最大的单日下跌,FX168讯 日本股市周一(1月4日)收盘大跌至两个半月低位，此前中国公布了低迷的制造业数据，加之美国股市去年底的跌势，令投资者在新年第一个交易日信心受挫。   周一收盘大跌至两个半月低位，此前中国...,"
新浪财经
会议讲座
>
2015中国国际石油化工大会
>
正文
-->
外汇
>
正文-->
&gt;
正文
行情
股吧
新闻
外汇
新年日本股市开张迎来3个月以来最大的单日下跌
2016年01月04日15:27
FX168
分享
添加喜爱
打印
增大字体
减小字体
视频加载中，请稍候...
自动播放
play
中国将继续放宽外资准入
向前
向后
-->
　　FX168讯 日本股市周一(1月4日)收盘大跌至两个半月低位，此前中国公布了低迷的制造业数据，加之美国股市去年底的跌势，令投资者在新年第一个交易日信心受挫。
　　周一收盘大跌至两个半月低位，此前中国公布了低迷的制造业数据，加之美国股市去年底的跌势，令投资者在新年第一个交易日信心受挫。
　　日经225指数下挫3.1%，报18450.98。这是9月29日来的最大单日跌幅。
　　东证股指原油及煤矿分指数上涨0.8%。由于两大产油国沙特和伊朗关系紧张，原油价格飙升，美元走弱。
　　东证股指下挫2.4%，报1509.67，所有33个分类指数中只有两个未跌入负值区间。
　　JPX-日经400下挫2.5%，报13597.24。
　　校对：长阳
进入
【新浪财经股吧】
讨论
我要反馈
保存网页
分享
添加喜爱
打印
增大字体
减小字体
新浪理财师推荐
观摩专业理财师操盘 跟买跟卖赚大钱&gt;&gt;
更多理财师
相关阅读
聚焦
应用中心
新浪公益
新浪游戏
互动活动
热点推荐
一生良师益友：海词词典
保护隐私与安全：应用锁
股民的第一选择：同花顺
定位家人的位置：跟屁虫
私人大游艇：快来造船吧
一个人狩猎：狙击手猎鹿
和敌人战斗：萌军飞行队
恐怖的对决：CS反恐精英
路程全掌握：凯立德导航
高清图片分享：奇思壁纸
捕捉精彩瞬间：特效相机
有热度有态度：人民日报
飞越天际：飞天滑板高手
等你征服：叛乱武士之战
魔幻旅：小小魔兽大战争
斗魂：超合体魔术机器人
微博益起来感恩行动
2013捐一元爱心送营养
2013壹基金公益映像节
水立方中国公益平台
阿里巴巴公益广告大赛
思源方舟防灾减灾
2013爱佑慈善晚宴
佳能影像公益
贫困儿童图书漂流箱项目
福特汽车环保奖
女童权益保护全球行动
奔驰自然保护项目
佳能希望小学色彩教室
卡夫希望厨房
妇基会母亲包邮活动
微博-达人通
《九阴真经》唯我独尊礼包
《梦幻西游手游版》夏日情谊卡
《星际战甲》新浪高级特权礼包
《问道》天书奇谭至尊礼包
《新倩女幽魂》新浪特权礼包
《热血传奇》15周年专区礼包
《大话西游2》人气公测礼包
《倩女幽魂2》新浪1888元白金卡
《第三把剑》新浪特权皇钻礼包
《奇迹MU》 新浪独家礼包
《龙门虎将》新浪定制礼包
《虎豹骑》二次测试码
角色扮演类新手卡
射击类游戏新手卡
动作类游戏新手卡
策略类游戏新手卡
新浪专栏：读名家知天下
想成为专栏作家？戳这里
强势围观！政务微博大事件！
快来看！湖南微博有大事！
最火博文 大家都在看
一大波台湾美食正在向你逼近！
[财经]股市行情查询
[财经]理财计算器
[科技]数码产品库
[视频]最热影视大片
[旅游]国内外景点查询
[育儿]育儿实用工具库
[汽车]车型查询
[女性]化妆品产品库
[星座]星座运势查询
[娱乐]影讯查询
[娱乐]电视节目表
[教育]大学院校查询
·
城市热点节庆活动
·
新浪《对话城市》
·
诚招合作伙伴
·
新企邮上线更优惠
新浪扶翼
行业专区
close
新浪简介
┊
About Sina
┊
广告服务
┊
联系我们
┊
招聘信息
┊
网站律师
┊
SINA English
┊
通行证注册
┊
产品答疑
Copyright
©
1996-2015 SINA Corporation, All Rights Reserved
新浪公司
版权所有
",2016-01-04T07:42:59.000Z,财经最新,新浪,http://finance.sina.com.cn/money/forex/datafx/2016-01-04/doc-ifxneept3658914.shtml,http://news.baidu.com/n?cmd=4&class=finannews&tn=rss,2016-01-04 15:45:40
FXTM富拓：2016汇市仍围绕美元,"



过去的2015年注定是美元之年，美联储加息成为金融市场关注的重中之重，美元随加息预期的升温而持续升值。尽管ICE美元指数兑一篮子货币于去年3月份在100关口附近筑顶后陷入宽幅区间整理，但全年仍录得9...","
新浪财经
会议讲座
>
2015中国国际石油化工大会
>
正文
-->
外汇
>
正文-->
&gt;
正文
行情
股吧
新闻
外汇
FXTM富拓：2016汇市仍围绕美元
2016年01月04日15:27
FX168
分享
添加喜爱
打印
增大字体
减小字体
视频加载中，请稍候...
自动播放
play
中国将继续放宽外资准入
向前
向后
-->
　　过去的2015年注定是美元之年，美联储加息成为金融市场关注的重中之重，美元随加息预期的升温而持续升值。尽管ICE
美元指数
兑一篮子货币于去年3月份在100关口附近筑顶后陷入宽幅区间整理，但全年仍录得9%的涨幅，兑欧元升值11.4%。加息预期也令美股录得2008年以来的最差表现，道琼斯工业指数跌全年下跌2.2%，标普500指数下跌0.7%，其中能源股下挫24%。不过科技股权重很大的纳指上涨5.7%，Netflix和
亚马逊
分别上涨134%和118%。
　　焦点在美联储加息幅度
　　目前市场焦点已经转向美联储2016年加速速度和幅度上。美联储的点状图显示美联储将于今年加息四次，若美国经济如耶伦预期复苏，则可能每个季度加息一次。市场预计第二次加息时间大概为4月份左右。由于距离第二次加息时间过长，因此这种预期对美元的影响有限，美国基本面以及外部因素将成为美联储二次加息之前的主要推动因素。
　　2016年开局商品不乐观
　　这些外部因素首先要提的是商品市场。因美联储加息，现货黄金价格连续第三年下跌，2015年跌幅超过10%，市场仍不看好2016年行情。另外全球供应过剩局面令国际油价暴跌，美国WTI原油期货跌幅超过30%。美元升值也导致其他大宗商品价格暴跌。进入2016年，一旦商品价格的跌势开始放缓，或暗示美元的升势也将放缓。
　　其他
央行
国家政策
　　此外，从其他央行的政策前景来看。欧央行自去年1月启动亿万购债计划以来，
欧元兑美元
大幅贬值。不过进入下半年汇价陷入1.0500上方的区间盘整。12月初欧央行进一步下调存款利率并延展QE计划，但没有扩大QE规模，令市场失望，导致欧元兑美元强势反弹至1.10关口上方。尽管欧央行行长德拉吉多次强调随时准备调整货币政策，但2016年该央行进一步扩大宽松货币政策的几率不大，即使美联储启动加息周期，随着欧元区经济的复苏，欧元兑美元的贬值速度也将明显放缓，年初欧元兑美元甚至可能继续朝着大型区间顶部1.15关口迈进。
　　最后，澳储行和纽储行对于各自经济经济前景更加乐观。尽管商品货币国家依然面临来自全球商品价格承压以及中国经济放缓的冲击，但这种负面的作用或随着低油价对经济的渗透而开始减弱，也有助于缓解商品货币兑美元的下行压力。
　　本周焦点在非农
　　本周将迎来美国1月非农就业报告。除非数据异常疲弱，否则美元仍将获得支撑。由于市场恢复正常的交易量还需一段时间，因此市场将延续之前的行情，也将非美将总体承压。
　　技术分析：
　　欧元/美元继续在1.100至1.080的区间震荡，汇价显示上方受到的压力仍然较强，区间震荡仍然以逢高做空为主。
　　澳元/美元日线图形早上受到中国制造业差的拖累大幅下挫，目前关注0.7200的支持，下破将重新回落至8月以来的中期支持线。
　　美元兑日元日图已经跌破120.50，目前在119.50的中期支持线受到支持。汇价如果跌破这个支持线将打开新的下行空间。
　　黄金兑美元四小时图形在1082受阻重新形成新的短期下行通道，建议在这个下行通道中以通道上轨为止损逢高做空。
　　2016-01-04
进入
【新浪财经股吧】
讨论
我要反馈
保存网页
分享
添加喜爱
打印
增大字体
减小字体
新浪理财师推荐
观摩专业理财师操盘 跟买跟卖赚大钱&gt;&gt;
更多理财师
相关阅读
聚焦
应用中心
新浪公益
新浪游戏
互动活动
热点推荐
一生良师益友：海词词典
保护隐私与安全：应用锁
股民的第一选择：同花顺
定位家人的位置：跟屁虫
私人大游艇：快来造船吧
一个人狩猎：狙击手猎鹿
和敌人战斗：萌军飞行队
恐怖的对决：CS反恐精英
路程全掌握：凯立德导航
高清图片分享：奇思壁纸
捕捉精彩瞬间：特效相机
有热度有态度：人民日报
飞越天际：飞天滑板高手
等你征服：叛乱武士之战
魔幻旅：小小魔兽大战争
斗魂：超合体魔术机器人
微博益起来感恩行动
2013捐一元爱心送营养
2013壹基金公益映像节
水立方中国公益平台
阿里巴巴公益广告大赛
思源方舟防灾减灾
2013爱佑慈善晚宴
佳能影像公益
贫困儿童图书漂流箱项目
福特汽车环保奖
女童权益保护全球行动
奔驰自然保护项目
佳能希望小学色彩教室
卡夫希望厨房
妇基会母亲包邮活动
微博-达人通
《九阴真经》唯我独尊礼包
《梦幻西游手游版》夏日情谊卡
《星际战甲》新浪高级特权礼包
《问道》天书奇谭至尊礼包
《新倩女幽魂》新浪特权礼包
《热血传奇》15周年专区礼包
《大话西游2》人气公测礼包
《倩女幽魂2》新浪1888元白金卡
《第三把剑》新浪特权皇钻礼包
《奇迹MU》 新浪独家礼包
《龙门虎将》新浪定制礼包
《虎豹骑》二次测试码
角色扮演类新手卡
射击类游戏新手卡
动作类游戏新手卡
策略类游戏新手卡
新浪专栏：读名家知天下
想成为专栏作家？戳这里
强势围观！政务微博大事件！
快来看！湖南微博有大事！
最火博文 大家都在看
一大波台湾美食正在向你逼近！
[财经]股市行情查询
[财经]理财计算器
[科技]数码产品库
[视频]最热影视大片
[旅游]国内外景点查询
[育儿]育儿实用工具库
[汽车]车型查询
[女性]化妆品产品库
[星座]星座运势查询
[娱乐]影讯查询
[娱乐]电视节目表
[教育]大学院校查询
·
城市热点节庆活动
·
新浪《对话城市》
·
诚招合作伙伴
·
新企邮上线更优惠
新浪扶翼
行业专区
close
新浪简介
┊
About Sina
┊
广告服务
┊
联系我们
┊
招聘信息
┊
网站律师
┊
SINA English
┊
通行证注册
┊
产品答疑
Copyright
©
1996-2015 SINA Corporation, All Rights Reserved
新浪公司
版权所有
",2016-01-04T07:42:59.000Z,财经最新,新浪,http://finance.sina.com.cn/money/forex/datafx/2016-01-04/doc-ifxneept3658920.shtml,http://news.baidu.com/n?cmd=4&class=finannews&tn=rss,2016-01-04 15:45:40
孙建发：金银短线仍然偏空 国际原油有望普涨,"



美国克利夫兰联储主席梅斯特周日（1月3日）表示，称自己完全支持美联储12月加息行动。美国克利夫兰联储主席梅斯特周日（1月3日）表示，美联储（FED）上个月的升息是朝着更加正常的政策时代谨慎迈出的第一...","
新浪财经
会议讲座
>
2015中国国际石油化工大会
>
正文
-->
外汇
>
正文-->
&gt;
正文
行情
股吧
新闻
外汇
孙建发：金银短线仍然偏空 国际原油有望普涨
2016年01月04日15:27
FX168
分享
添加喜爱
打印
增大字体
减小字体
视频加载中，请稍候...
自动播放
play
中国将继续放宽外资准入
向前
向后
-->
　　美国克利夫兰联储主席梅斯特周日（1月3日）表示，称自己完全支持美联储12月加息行动。美国克利夫兰联储主席梅斯特周日（1月3日）表示，美联储（FED）上个月的升息是朝着更加正常的政策时代谨慎迈出的第一步，此举暗示该
央行
相信美国经济将继续改善。梅斯特称自己完全支持12月的行动，她的立场偏于强硬，而且今年在美国联邦公开市场委员会（FOMC）中具有投票权。梅斯特指出，在利率逐步正常化的道路上迈出第一步是谨慎之举，这也&#34;表明货币政策决策者相信，最近几年所出现的经济发展将会持续。&#34;美联储在去年12月中旬将指标利率从接近于零的水平上调，为近10年来首次收紧政策。这在普遍预期之中，但美联储考虑何时再度采取行动，仍可能撼动金融市场。
　　交易品种：现货黄金（XAUUSD）
　　交易方向：逢高做空
　　交易策略：1068附近做空，严格止损1072，目标1060-1050
　　交易原理：均线理论
　　交易品种：现货白银（XAGUSD）
　　交易方向：逢高做空
　　交易策略：14.0附近做空，严格止损14.2，目标13.7-13.3
　　交易原理：均线理论
　　交易品种：国际原油（USOIL）
　　交易方向：逢低做多
　　交易策略：37.25附近做多，严格止损36.85，目标38.00-39.20
　　交易原理：切线理论
　　注：交易策略属短线静态策略，实际要根据市场稍作调整。纯属分析师个人观点，如有异议切勿仿效。一家之言仅供参考，据此操作盈亏自负。
　　2016-01-04
进入
【新浪财经股吧】
讨论
我要反馈
保存网页
分享
添加喜爱
打印
增大字体
减小字体
新浪理财师推荐
观摩专业理财师操盘 跟买跟卖赚大钱&gt;&gt;
更多理财师
相关阅读
聚焦
应用中心
新浪公益
新浪游戏
互动活动
热点推荐
一生良师益友：海词词典
保护隐私与安全：应用锁
股民的第一选择：同花顺
定位家人的位置：跟屁虫
私人大游艇：快来造船吧
一个人狩猎：狙击手猎鹿
和敌人战斗：萌军飞行队
恐怖的对决：CS反恐精英
路程全掌握：凯立德导航
高清图片分享：奇思壁纸
捕捉精彩瞬间：特效相机
有热度有态度：人民日报
飞越天际：飞天滑板高手
等你征服：叛乱武士之战
魔幻旅：小小魔兽大战争
斗魂：超合体魔术机器人
微博益起来感恩行动
2013捐一元爱心送营养
2013壹基金公益映像节
水立方中国公益平台
阿里巴巴公益广告大赛
思源方舟防灾减灾
2013爱佑慈善晚宴
佳能影像公益
贫困儿童图书漂流箱项目
福特汽车环保奖
女童权益保护全球行动
奔驰自然保护项目
佳能希望小学色彩教室
卡夫希望厨房
妇基会母亲包邮活动
微博-达人通
《九阴真经》唯我独尊礼包
《梦幻西游手游版》夏日情谊卡
《星际战甲》新浪高级特权礼包
《问道》天书奇谭至尊礼包
《新倩女幽魂》新浪特权礼包
《热血传奇》15周年专区礼包
《大话西游2》人气公测礼包
《倩女幽魂2》新浪1888元白金卡
《第三把剑》新浪特权皇钻礼包
《奇迹MU》 新浪独家礼包
《龙门虎将》新浪定制礼包
《虎豹骑》二次测试码
角色扮演类新手卡
射击类游戏新手卡
动作类游戏新手卡
策略类游戏新手卡
新浪专栏：读名家知天下
想成为专栏作家？戳这里
强势围观！政务微博大事件！
快来看！湖南微博有大事！
最火博文 大家都在看
一大波台湾美食正在向你逼近！
[财经]股市行情查询
[财经]理财计算器
[科技]数码产品库
[视频]最热影视大片
[旅游]国内外景点查询
[育儿]育儿实用工具库
[汽车]车型查询
[女性]化妆品产品库
[星座]星座运势查询
[娱乐]影讯查询
[娱乐]电视节目表
[教育]大学院校查询
·
城市热点节庆活动
·
新浪《对话城市》
·
诚招合作伙伴
·
新企邮上线更优惠
新浪扶翼
行业专区
close
新浪简介
┊
About Sina
┊
广告服务
┊
联系我们
┊
招聘信息
┊
网站律师
┊
SINA English
┊
通行证注册
┊
产品答疑
Copyright
©
1996-2015 SINA Corporation, All Rights Reserved
新浪公司
版权所有
",2016-01-04T07:42:59.000Z,财经最新,新浪,http://finance.sina.com.cn/money/forex/datafx/2016-01-04/doc-ifxncyar6289398.shtml,http://news.baidu.com/n?cmd=4&class=finannews&tn=rss,2016-01-04 15:45:40
