酒店名称,当前链接,上级链接,下载时间
"
                        Hotel Aleksiona(阿里索娜酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/563737.html,http://hotels.ctrip.com/international/durrs58513/p2,2016-01-12 13:20:15
"
                        Golem Apartments
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1127318.html,http://hotels.ctrip.com/international/durrs58513/p2,2016-01-12 13:20:15
"
                        Tropikal Resort(翠屏喀热带度假酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/555961.html,http://hotels.ctrip.com/international/durrs58513/p2,2016-01-12 13:20:15
"
                        Durres Hostel(都拉斯旅舍)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1041544.html,http://hotels.ctrip.com/international/durrs58513/p2,2016-01-12 13:20:16
"
                        Residence Durazzo
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1788469.html,http://hotels.ctrip.com/international/durrs58513/p2,2016-01-12 13:20:16
"
                        Durazzo Resort & Spa
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2161160.html,http://hotels.ctrip.com/international/durrs58513/p2,2016-01-12 13:20:17
"
                        Ponari apartments
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2570966.html,http://hotels.ctrip.com/international/durrs58513/p2,2016-01-12 13:20:18
"
                        Hotel Leonardo(莱昂纳多酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3688329.html,http://hotels.ctrip.com/international/durrs58513/p2,2016-01-12 13:20:18
"
                        Hotel Albion(阿尔比恩酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/744729.html,http://hotels.ctrip.com/international/durrs58513/p2,2016-01-12 13:20:18
"
                        Primavera Residence
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3291508.html,http://hotels.ctrip.com/international/durrs58513/p2,2016-01-12 13:20:19
"
                        Drini Hotel(德睿尼酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/515979.html,http://hotels.ctrip.com/international/durrs58513/p2,2016-01-12 13:20:19
"
                        Hotel Sunrise Cameria
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2905028.html,http://hotels.ctrip.com/international/durrs58513/p2,2016-01-12 13:20:20
"
                        Front Sea View Apartments
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2275212.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:21
"
                        Hotel Real
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2392335.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:21
"
                        Apartment Bougainville
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2161154.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:22
"
                        Gjergj Araniti apartment
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2066238.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:22
"
                        Rezidenca Kalter
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2273446.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:22
"
                        Spacious apartment by sea in Durres,Albania
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2002930.html,http://hotels.ctrip.com/international/durrs58513/p2,2016-01-12 13:20:23
"
                        Hotel Myrtaj
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2513283.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:23
"
                        Vila E Bardhe
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2122517.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:24
"
                        Perla Hotel Saranda
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/593022.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:24
"
                        Hotel Olympia
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/693672.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:24
"
                        Bougainville Bay(布干维尔岛海湾酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3040251.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:25
"
                        Hotel Globus2
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1947204.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:25
"
                        Titania Hotel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2886230.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:26
"
                        Guest House Hyseni
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3245129.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:26
"
                        John's Guesthouse
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1750353.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:26
"
                        Hotel Veliu
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2095187.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:26
"
                        Kristina Apartments
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2788536.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:27
"
                        Agron
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3417191.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:27
"
                        Port Side Sarande
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2566963.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:27
"
                        Julia Apartment
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2153503.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:27
"
                        White Apartments
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2213243.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:28
"
                        Hotel Aulona(阿乌尼奥哈酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3033004.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:28
"
                        Villa Crystal
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3199479.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:29
"
                        Santa Quaranta View
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2941319.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:29
"
                        Saranda View
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2558052.html,http://hotels.ctrip.com/international/sarande58518/p2,2016-01-12 13:20:30
