酒店名称,当前链接,上级链接,下载时间
"
                        Coral Hotel & Resort
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1321277.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:18:55
"
                        Regina Hotel(里贾纳酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/369008.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:18:56
"
                        Divers Residence
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2982932.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:18:56
"
                        Residence Jazoj
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1711636.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:18:56
"
                        Guest House Edi
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2466202.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:18:57
"
                        Hotel Pashai
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2604478.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:18:57
"
                        Grand Hotel Aita(艾塔格兰德酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/642911.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:18:58
"
                        Guest House Arifi
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2275442.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:18:58
"
                        Radhima Beach Apartment
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2489802.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:18:58
"
                        Horizonti Hotel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2300767.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:18:58
"
                        Sirena Hotel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2370789.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:18:59
"
                        Dea Hotel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2268274.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:18:59
"
                        Diamond Hill
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2790261.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:19:00
"
                        Hotel Brelor Grand House
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1730922.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:19:00
"
                        Hotel Martini(马提尼酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/558397.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:19:00
"
                        Gamel Guest House
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2457599.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:19:00
"
                        Hotel Ikea Vlorë(法罗拉伊卡酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/369004.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:19:01
"
                        Europa Grand Resort
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1041565.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:19:01
"
                        Gili Apartment
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2617279.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:19:01
"
                        Hotel Rossi
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2786382.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:19:02
"
                        Perparimi Guest House
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2457594.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:19:02
"
                        Villa Zamos
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2512969.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:19:02
"
                        Hotel Partner(帕特纳酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/576545.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:19:02
"
                        Hotel Kalemi 2
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2161159.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:03
"
                        Hotel Pavaresia
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2786855.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:19:03
"
                        Vlora Center Veranda
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1866102.html,http://hotels.ctrip.com/international/radhime58516,2016-01-12 13:19:03
"
                        Hotel Domino
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2349533.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:03
"
                        Hotel Gjirokastra(吉诺卡斯特酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/566678.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:04
"
                        Bed and Breakfast Kotoni(卡托里住宿加早餐酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/502547.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:05
"
                        Hashorva Guest House
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2601047.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:06
"
                        Konaku
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2293708.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:06
"
                        Hotel Shtino
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2799582.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:06
"
                        Hotel Kalemi(克莱米酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/369010.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:07
"
                        Flora's Guesthouse
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2619339.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:08
"
                        Hotel Kodra
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2166712.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:08
"
                        Sweetdreams Guest House
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2294021.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:08
"
                        Mizeri Guest House
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2792440.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:08
"
                        Kore Guest House
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2613417.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:09
"
                        Hotel Relax
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/851820.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:09
"
                        Erindi Guesthouse
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2573073.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:09
"
                        Apartment Zenebishi
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2788987.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:09
"
                        Hotel Bleta(布雷塔酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/526462.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:09
"
                        Jona's place
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2065269.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:10
"
                        Shehu Hotel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1444501.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:10
"
                        Selfo Hotel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2212833.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:11
"
                        Qiqi Hotel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2161158.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:11
"
                        Freskia e Viroit Hotel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1089329.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:11
"
                        Hotel Sopoti
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/851824.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:11
"
                        Grandma's Farm B&B
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3330050.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:12
"
                        Hotel Lulishte
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2607736.html,http://hotels.ctrip.com/international/gjirokaster58514,2016-01-12 13:19:13
"
                        BEST WESTERN PREMIER Ark Hotel(阿尔克贝斯特韦斯特精品酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2584949.html,http://hotels.ctrip.com/international/rinas58517,2016-01-12 13:19:13
"
                        Hotel Verzaci(瓦萨奇酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/604671.html,http://hotels.ctrip.com/international/rinas58517,2016-01-12 13:19:14
"
                        Hotel Jurgen(乔尔根酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3742053.html,http://hotels.ctrip.com/international/rinas58517,2016-01-12 13:19:14
"
                        Ador Resort(阿朵尔度假村酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3742050.html,http://hotels.ctrip.com/international/rinas58517,2016-01-12 13:19:14
"
                        White Residence Apartments
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2557609.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:15
"
                        Hotel Royal Saranda(萨兰达皇家酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/581276.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:16
"
                        Hotel Agimi(阿格米艾斯酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/588634.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:16
"
                        Blue Bay Hotel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1435636.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:16
"
                        Apartments Flower Residence
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1091419.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:17
"
                        Apartments Romario
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1753751.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:17
"
                        Porto Eda Hotel(波尔图艾达酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/558649.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:17
"
                        Demi Hotel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1238398.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:18
"
                        Hotel Lion Gate
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1203018.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:19
"
                        Hotel Jaroal(亚若奥酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3122611.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:19
"
                        Apartments Serxhio(塞尔吉奥公寓)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/502031.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:19
"
                        Hotel Il Conte Di Monte Cristo
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2319204.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:19
"
                        Hotel Vola(佛拉酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3032096.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:20
"
                        Hotel Serxhio
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/641259.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:20
"
                        Mitat Hoxha Apartments
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2791692.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:20
"
                        Anas Apartment
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2587397.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:21
"
                        Butrinti Apartment
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2508411.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:22
"
                        Miranda Apartments
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2457531.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:22
"
                        Apartment Parus
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2161152.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:23
"
                        Cavo Paradise
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2054985.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:23
"
                        Apartment in Saranda
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2077211.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:24
"
                        Eval Apartments(艾薇公寓)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/641941.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:24
"
                        Seaside Apartment
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2498193.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:25
"
                        Sail Apartments
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2208352.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:25
"
                        Apartments In Bougainville Bay
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1202122.html,http://hotels.ctrip.com/international/sarande58518,2016-01-12 13:19:26
"
                        Hotel Tradita(特拉迪塔酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/566011.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:26
"
                        Hotel Floga
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1125815.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:26
"
                        Hotel Kaduku(卡杜库酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3032729.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:26
"
                        Hotel Blini(布里尼酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1038914.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:27
"
                        At grandma's Hostel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2213426.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:27
"
                        Hotel Carmen(卡门酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2016706.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:28
"
                        The Red Bricks Hotel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3038031.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:28
"
                        Arka Hostel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2235053.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:28
"
                        Hotel Buza
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1239614.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:29
"
                        Home Hostel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1240555.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:29
"
                        Apartment Familja Paja
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1992123.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:29
"
                        Blini Guest House
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2371619.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:30
"
                        Eco Garten Guest House
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2024520.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:30
"
                        The Wanderers Hostel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1524049.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:31
"
                        Hotel Ambasador
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1514180.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:31
"
                        Shkodra BnB
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2024340.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:32
"
                        Guesthouse Florian(弗洛里安宾馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/517068.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:32
"
                        Hotel Ideal
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1428631.html,http://hotels.ctrip.com/international/shkodra58519,2016-01-12 13:19:32
