酒店名称,当前链接,上级链接,下载时间
"
                        Two-Bedroom Villa at Stella Di Mare - Ain Sokhna
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2600963.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:42
"
                        Stella Di Mare Sea Club Hotel(海星海洋俱乐部酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3793564.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:43
"
                        Teda Swiss Inn Plaza Hotel & Aqua Park(泰达瑞士旅馆广场及水上乐园酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3692980.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:43
"
                        Romance Hotel(浪漫酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/236017.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:44
"
                        Porto Holidays Sokhna Apartments(索克纳海滨波尔图世界公寓式酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1750065.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:44
"
                        Dome Marina Swiss Inn Resort(瑞士圆顶码头度假酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3688172.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:44
"
                        Ground Floor Chalet in Porto Sokhna
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2988684.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:44
"
                        Porto Holidays Sokhna Apartments - Pyramids(波尔图假期索科纳公寓式酒店（金字塔）)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/692173.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:45
"
                        Three-Bedroom Chalet at Marina Wadi Degla
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1276190.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:45
"
                        Porto South Beach(波尔图南海滩度假村)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2052199.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:46
"
                        Two-Bedroom Chalet at Porto Sokhna Water Front
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1444112.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:46
"
                        El Bahamas Two-Bedroom Apartment
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2860042.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:46
"
                        Apartments at La Siesta Resort Ain Sokhna
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2208871.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:47
"
                        Villa in Stella Di Mare – Ain Sokhna(斯特拉迪马别墅 - 埃因苏克那)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/569728.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:47
"
                        Furnished Apartments at Oasis of the Hijaz(阿扎塔克之滨希贾兹绿洲精装公寓酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/862381.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:47
"
                        Coral Sea Beach(珊瑚海海滩度假酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/396119.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:48
"
                        La Sirena Hotel & Resort(拉斯利纳酒店及度假村)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/315179.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:48
"
                        Two-Bedroom Chalet at Stella Di Mare Ain Sokhna
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1421845.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:52:48
"
                        Family Palace Hostel(家庭宫殿青年旅馆)
                        又名：Family Palace Hostel(家庭宫旅馆)
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1260672.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:50
"
                        Golden Hotel Cairo(开罗黄金酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/235856.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:51
"
                        Staybridge Suites & Apartments - Citystars(城市之星住桥套房公寓)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/235791.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:51
"
                        Al Masah Hotel And Spa(阿尔马萨温泉酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/314947.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:52
"
                        Tolip Family Park Hotel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2788168.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:52
"
                        Grand Nile Tower(Grand Nile Tower)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2295062.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:53
"
                        Horizon Shahrazad Hotel(赫瑞泽尚瑞扎德酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2904039.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:53
"
                        Three-Bedroom Apartment at Milsa Buildings
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3154566.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:53
"
                        Le Méridien Cairo Airport(Le M茅ridien Cairo Airport)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2894130.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:54
"
                        Le Meridien Heliopolis(Le Meridien Heliopolis)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2893802.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:54
"
                        Mena House Hotel(Mena House Hotel)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2195454.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:55
"
                        Zayed Hotel(扎耶德酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3901704.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:55
"
                        Triumph Hotel & Conference Center(凯旋酒店会议中心)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2195456.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:55
"
                        Three-Bedroom Apartment at Sarayat El Maadi(萨拉亚特埃尔马迪三卧室公寓)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1422518.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:56
"
                        Hostel Luna(月神旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/235838.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:56
"
                        City View Hotel(丽景酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/235803.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:56
"
                        Two-Bedroom Apartment at Al Mohandeseen(塔里克伊本齐亚德塔公寓)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2594601.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:57
"
                        Three-Bedroom Apartment Dokki(多齐三卧室公寓)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2991362.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:58
"
                        Seven-Bedroom Furnished Villa in Adn Street, Mohandeseen(七卧室家具别墅，Adn Street, Mohandeseen街)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2235315.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:58
"
                        Great Pyramid Inn(大金字塔酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3122733.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:58
"
                        Sphinx Guest House Giza(吉萨狮身人面像旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/477685.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:58
"
                        Ramses Palace Hostel(拉美西斯宫殿旅舍)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2989931.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:59
"
                        The Resort Villa - New Cairo(新开罗度假别墅)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2062491.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:52:59
"
                        Nile Season Hotel(尼罗河四季酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/235876.html,http://hotels.ctrip.com/international/cairo332/p2,2016-01-12 13:53:00
"
                        Villa Belle Epoque(美好时光别墅酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1297169.html,http://hotels.ctrip.com/international/giza10275/p2,2016-01-12 13:53:00
"
                        Pyramids Loft Homestay(金字塔阁楼民宿)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2065266.html,http://hotels.ctrip.com/international/giza10275/p2,2016-01-12 13:53:00
"
                        Three-Bedroom Apartment at Nazlet El Semman(纳兹勒艾尔森曼三卧室公寓)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/874010.html,http://hotels.ctrip.com/international/giza10275/p2,2016-01-12 13:53:00
"
                        Maadi Int. Center & Apartment(玛迪国际中心和公寓)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/235826.html,http://hotels.ctrip.com/international/giza10275/p2,2016-01-12 13:53:01
"
                        Maadi Hotel(Maadi Hotel)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2195453.html,http://hotels.ctrip.com/international/giza10275/p2,2016-01-12 13:53:01
,http://hotels.ctrip.com/international/3488076.html,http://hotels.ctrip.com/international/ainsokhna36237,2016-01-12 13:53:01
"
                        Pyramids Inn Motel(金字塔汽车旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/235877.html,http://hotels.ctrip.com/international/giza10275/p2,2016-01-12 13:53:02
"
                        Arabian Nights Hostel(阿拉伯之夜旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/235817.html,http://hotels.ctrip.com/international/giza10275/p2,2016-01-12 13:53:02
"
                        Fairmont Nile City Cairo (开罗费尔蒙尼罗河城市酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2195449.html,http://hotels.ctrip.com/international/giza10275/p2,2016-01-12 13:53:03
"
                        Citadel Azur Resort(希塔戴尔阿佐度假胜地)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/235994.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:06
"
                        Fun City Makadi(马卡蒂娱乐城度假村)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3794305.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:06
"
                        Giftun Azur Resort(吉夫腾阿祖尔度假酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/315131.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:06
"
                        Avrio Red Sea Apartments(阿维利奥红海公寓式酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1899614.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:07
"
                        The Three Corners Rihana Inn(里哈纳三角酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/235919.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:07
"
                        Minamark Resort & Spa(Minamark Resort & Spa)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3039779.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:08
"
                        Apartment Intercontinental District Hurghada
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2880786.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:09
"
                        Sunny Days Mirette Family Resort(阳光灿烂米瑞特家庭度假村酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/235948.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:09
"
                        Rivoli Suites
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2996525.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:09
"
                        Apartments at British Resort
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2023782.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:09
"
                        Hurghada Dreams Hotel Apartment(赫尔格达梦幻公寓式酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/4014003.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:10
"
                        Azzurra Sahl Hasheesh(阿祖拉萨尔哈西斯套房酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3032012.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:10
"
                        Luxor Hotel Hurghada(赫格达拉可苏酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/235924.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:10
"
                        Two-Bedroom Apartment at Esplanada Resort
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1983378.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:11
"
                        Phase 5 Villa 21
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2034023.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:11
"
                        Two-Bedroom Apartment at Al Ahyaa Area
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/587343.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:11
"
                        Makadi Garden Azur Resort(马卡迪花园海岸度假村 - 只供成年人入住)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/4068003.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:12
"
                        Paradise Hill Apartments
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/315171.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:13
"
                        Bahga Palace 2 Residential Apartments(邦格宫2号住宅公寓)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/383456.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:13
"
                        Palm Beach Resort(棕榈滩度假酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/235984.html,http://hotels.ctrip.com/international/hurghada3471/p2,2016-01-12 13:53:14
