酒店名称,当前链接,上级链接,下载时间
"
                        Gandon Hall Apartments(冈东厅公寓)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/861967.html,http://hotels.ctrip.com/international/clondalkin36756,2016-01-12 13:45:58
"
                        Backpackers Citi Hostel(花旗背包青年旅社)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/266525.html,http://hotels.ctrip.com/international/clondalkin36756,2016-01-12 13:45:58
"
                        Adelphi Guesthouse(阿德尔菲宾馆)
                        又名：Adelphi Guesthouse(阿德菲招待所)
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/266543.html,http://hotels.ctrip.com/international/clondalkin36756,2016-01-12 13:45:59
"
                        Durban Residence(德班住宅酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/266537.html,http://hotels.ctrip.com/international/clondalkin36756,2016-01-12 13:45:59
"
                        Paddy's Palace Dublin(都柏林帕迪宫酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/693396.html,http://hotels.ctrip.com/international/clondalkin36756,2016-01-12 13:46:00
"
                        Maple Hotel(枫叶酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3264546.html,http://hotels.ctrip.com/international/clondalkin36756,2016-01-12 13:46:00
"
                        Backpackers D1Hostel(背包客旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/266544.html,http://hotels.ctrip.com/international/clondalkin36756,2016-01-12 13:46:00
"
                        O'Shea's(欧西尔斯酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/266532.html,http://hotels.ctrip.com/international/clondalkin36756,2016-01-12 13:46:00
"
                        Seafield House
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2371305.html,http://hotels.ctrip.com/international/quilty36761,2016-01-12 13:46:02
"
                        Teach Baurna Gross
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2617535.html,http://hotels.ctrip.com/international/quilty36761,2016-01-12 13:46:02
"
                        Riverside B&B
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2342119.html,http://hotels.ctrip.com/international/cootehill36760,2016-01-12 13:46:02
"
                        Errigal Country House Hotel(埃里格尔乡村酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/742958.html,http://hotels.ctrip.com/international/cootehill36760,2016-01-12 13:46:03
"
                        The Lake House
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2588353.html,http://hotels.ctrip.com/international/cootehill36760,2016-01-12 13:46:03
"
                        Trooperstown Woodlodge B&B(骑兵镇木小屋住宿加早餐旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/487262.html,http://hotels.ctrip.com/international/laragh36762,2016-01-12 13:46:04
"
                        Glendalough International Youth Hostel(格兰达洛国际青年旅舍)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1123900.html,http://hotels.ctrip.com/international/laragh36762,2016-01-12 13:46:04
"
                        Laragh Mountain View Lodge
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2340822.html,http://hotels.ctrip.com/international/laragh36762,2016-01-12 13:46:04
"
                        Jacobs Well B&B(雅各布井住宿加早餐旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/577743.html,http://hotels.ctrip.com/international/rathdrum36764,2016-01-12 13:46:06
