酒店名称,当前链接,上级链接,下载时间
"
                        The Yeats County Inn Hotel(叶芝县酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/666001.html,http://hotels.ctrip.com/international/tobercurry36808,2016-01-12 13:47:35
"
                        Townhouse Tullamore
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3154659.html,http://hotels.ctrip.com/international/tullamore36809,2016-01-12 13:47:35
"
                        Ballycommon House
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3268172.html,http://hotels.ctrip.com/international/tullamore36809,2016-01-12 13:47:35
"
                        Rathview House(拉斯维由住宿加早餐旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/716448.html,http://hotels.ctrip.com/international/swords36807,2016-01-12 13:47:36
"
                        Tullamore Court Hotel(塔拉莫尔科尔酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3799138.html,http://hotels.ctrip.com/international/tullamore36809,2016-01-12 13:47:36
"
                        Brookville Guesthouse
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1524195.html,http://hotels.ctrip.com/international/tullamore36809,2016-01-12 13:47:36
"
                        Central Hotel Tullamore(塔拉莫尔中心酒店- 原塔拉莫尔戴斯酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3681365.html,http://hotels.ctrip.com/international/tullamore36809,2016-01-12 13:47:36
"
                        Tudor Lodge Bed and Breakfast
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3385895.html,http://hotels.ctrip.com/international/tullamore36809,2016-01-12 13:47:36
"
                        Sea Dew B&B
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1680938.html,http://hotels.ctrip.com/international/tullamore36809,2016-01-12 13:47:37
"
                        Bridge House Hotel, Leisure Club & Spa(布里奇休闲Spa俱乐部酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/265953.html,http://hotels.ctrip.com/international/tullamore36809,2016-01-12 13:47:37
