酒店名称,当前链接,上级链接,下载时间
"
                        Mandarina Suites
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/861605.html,http://hotels.ctrip.com/international/tandil47570,2016-01-12 13:32:02
"
                        Refugio del Angel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/558103.html,http://hotels.ctrip.com/international/tandil47570,2016-01-12 13:32:03
"
                        Cabañas Ronca Hue
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3154976.html,http://hotels.ctrip.com/international/tandil47570,2016-01-12 13:32:03
"
                        Guenaken
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2023682.html,http://hotels.ctrip.com/international/tandil47570,2016-01-12 13:32:03
"
                        Altos de Tandil Hotel Boutique & Spa(图斯德坦迪尔精品酒店及spa中心)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/861606.html,http://hotels.ctrip.com/international/tandil47570,2016-01-12 13:32:03
"
                        Apart Hotel Curahue
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/563545.html,http://hotels.ctrip.com/international/tandil47570,2016-01-12 13:32:03
"
                        Montebello Cabañas
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2800103.html,http://hotels.ctrip.com/international/tandil47570,2016-01-12 13:32:04
"
                        La Nilda
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2874601.html,http://hotels.ctrip.com/international/tandil47570,2016-01-12 13:32:04
"
                        El Mirador de Tandil
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1027345.html,http://hotels.ctrip.com/international/tandil47570,2016-01-12 13:32:05
"
                        Cabaña El Fuerte Tandil(卡巴纳埃尔弗特坦迪尔度假屋)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1765629.html,http://hotels.ctrip.com/international/tandil47570,2016-01-12 13:32:05
"
                        Solar en la Sierra
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/960674.html,http://hotels.ctrip.com/international/tandil47570,2016-01-12 13:32:06
"
                        You & Me Apartment
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2112291.html,http://hotels.ctrip.com/international/tandil47570,2016-01-12 13:32:06
"
                        Cabañas La Toscana
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/960101.html,http://hotels.ctrip.com/international/tandil47570,2016-01-12 13:32:07
"
                        Cabañas Ranquil Luncay(卡瓦尼亚斯廊奎兰开山林小屋)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/567649.html,http://hotels.ctrip.com/international/uspallata47577,2016-01-12 13:32:09
"
                        Pueblo Shardana
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2996859.html,http://hotels.ctrip.com/international/valeria47579,2016-01-12 13:32:10
"
                        Samadi Hostel(萨马迪旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1038471.html,http://hotels.ctrip.com/international/uspallata47577,2016-01-12 13:32:10
"
                        Valeria Playa Apart(瓦莱里娅海滩公寓)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/339107.html,http://hotels.ctrip.com/international/valeria47579,2016-01-12 13:32:10
"
                        El Galpon(艾尔盖尔本公寓)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/581018.html,http://hotels.ctrip.com/international/valeria47579,2016-01-12 13:32:11
"
                        Posada La Hojarasca
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1200577.html,http://hotels.ctrip.com/international/uspallata47577,2016-01-12 13:32:11
"
                        Hotel Andorra
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/585092.html,http://hotels.ctrip.com/international/valeria47579,2016-01-12 13:32:12
"
                        Valle del Cielo
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1658921.html,http://hotels.ctrip.com/international/uspallata47577,2016-01-12 13:32:12
"
                        Chalet Valeria Del Mar
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2378539.html,http://hotels.ctrip.com/international/valeria47579,2016-01-12 13:32:12
"
                        Hosteria del Mar
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1423819.html,http://hotels.ctrip.com/international/valeria47579,2016-01-12 13:32:12
"
                        Valeria House Rental Suites(瓦莱里娅豪斯出租套房旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/339108.html,http://hotels.ctrip.com/international/valeria47579,2016-01-12 13:32:12
"
                        Posada La Campiña
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/593213.html,http://hotels.ctrip.com/international/vallehermoso47580,2016-01-12 13:32:13
"
                        Alma Marina
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/676127.html,http://hotels.ctrip.com/international/valeria47579,2016-01-12 13:32:13
"
                        La Casa de Ramatis
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1751780.html,http://hotels.ctrip.com/international/vallehermoso47580,2016-01-12 13:32:13
