酒店名称,当前链接,上级链接,下载时间
"
                        Apolo Atlantis(阿波罗亚特兰蒂斯酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/575560.html,http://hotels.ctrip.com/international/mardel3396,2016-01-12 13:33:30
"
                        Siempre verde
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3085559.html,http://hotels.ctrip.com/international/mardel3396,2016-01-12 13:33:31
"
                        Hotel Villa Santa Maiani(圣塔马亚尼别墅酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/553934.html,http://hotels.ctrip.com/international/mardel3396,2016-01-12 13:33:31
"
                        Fonte Di Trevi Hotel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1428826.html,http://hotels.ctrip.com/international/mardel3396,2016-01-12 13:33:31
"
                        Departamentos céntrico sobre Av. Colon
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2112470.html,http://hotels.ctrip.com/international/mardel3396,2016-01-12 13:33:31
"
                        Hotel Di Sorrento
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1704721.html,http://hotels.ctrip.com/international/mardel3396,2016-01-12 13:33:31
"
                        Mar del Faro
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/303053.html,http://hotels.ctrip.com/international/mardel3396,2016-01-12 13:33:32
"
                        Hotel Dalmacia
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/719320.html,http://hotels.ctrip.com/international/mardel3396,2016-01-12 13:33:32
"
                        Departamento Frente al Hotel Provincial
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1939327.html,http://hotels.ctrip.com/international/mardel3396,2016-01-12 13:33:32
"
                        Koi Aiken(考伊爱肯酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3084334.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:34
"
                        Unique Luxury Patagonia(Unique Luxury Patagonia)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2575954.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:34
"
                        Rochester Calafate(罗切斯特卡拉法特酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2575695.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:36
"
                        Xelena Hotel & Suites(Xelena Hotel & Suites)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/755432.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:36
"
                        Tremun Mirador del Lago Hotel(特雷穆恩美丽都大涞阁酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/755431.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:36
"
                        Imago Hotel & Spa(爱玛歌酒店&Spa)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3084728.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:36
"
                        Glaciares De La Patagonia(冰川德拉巴塔哥尼亚酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2582464.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:37
"
                        Terraza Coirones Hotel Boutique Patagonico(特拉萨柯伊隆内斯精品酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2123249.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:38
"
                        Marcopolo Suites Calafate(卡拉法特马可波罗套房酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3046117.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:38
"
                        Edenia Punta Soberana(艾迪尼亚庞塔索伯拉纳酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3042882.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:38
"
                        La Cantera Boutique Hotel Calafate(La Cantera Boutique Hotel Calafate)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2564259.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:39
"
                        Tremun Rincon del Calafate Hotel(林可德尔卡拉发特特雷穆恩酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3170145.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:39
"
                        Tremun Kau Yatun Hotel(特雷穆恩九雅屯酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3572634.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:39
"
                        Design Suites Calafate Hotel(卡拉法特设计套房酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/755441.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:40
"
                        America del Sur Hostel Calafate(卡拉法特美国南旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/755442.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:40
"
                        Hosteria Rukahué(卢卡胡厄旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/303102.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:40
"
                        Hostel Buenos Aires(布宜诺斯艾利斯旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/486424.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:41
"
                        Tremun Calafate Parque Hotel(卡拉法特巴赫克特雷穆恩酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/755437.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:41
"
                        Cabañas El Amanecer
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2979224.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:41
"
                        Posada Larsen(波萨达钮温科林酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/274423.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:42
"
                        Hotel Quijote(吉诃德酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/274446.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:43
"
                        La Posada del Angel(波萨达安吉尔酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/530751.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:43
"
                        Hotel Michelangelo(米开朗基罗酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/303107.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:44
"
                        Linda Vista Apart Hotel(琳达维斯塔公寓酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3659231.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:44
"
                        Los Naranjos(洛斯纳兰霍斯酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3070911.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:44
"
                        LAS HAYAS RESORT HOTEL(LAS HAYAS RESORT HOTEL)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2111713.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:44
"
                        Costa Ushuaia(格斯塔乌斯怀亚)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3041349.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:45
"
                        Fueguino Hotel(福吉诺酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2575739.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:45
"
                        Del Bosque Apart Hotel(博斯克公寓酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2574799.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:45
"
                        Hostería Via Rondine(维亚洛蒂内酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3030874.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:46
"
                        Cyan Cacique Calafate Hotel(赛卡拉法特酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3907071.html,http://hotels.ctrip.com/international/elcalafate6767,2016-01-12 13:33:46
"
                        Departamentos Ushuaia(乌斯怀亚公寓)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1983465.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:47
"
                        Hotel Mustapic(穆斯塔皮克酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/355278.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:47
"
                        Hotel Antartida Argentina(阿根廷安塔蒂达酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/490002.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:47
"
                        Posada Del Fin Del Mundo(世界尽头酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/4225100.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:48
"
                        Bed and Breakfast Aijpel(阿耶佩住宿加早餐旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/567827.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:48
"
                        Hostel Yakush(雅库斯旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1075686.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:48
"
                        Hostal de la Laguna(德拉拉古纳旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/4166059.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:49
"
                        Hotel Tierra del Fuego
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2212661.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:49
"
                        Los Calafates B&B(卡拉法迭斯住宿加早餐旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/301822.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:50
"
                        Hosteria Residencia Linares(君悦利纳雷斯宾馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/824488.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:50
"
                        Hotel Ushuaia
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3725895.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:51
"
                        Tolkeyen(托克文酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/593928.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:51
"
                        Hosteria Chalp(豪斯特里亚夏尔普酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3106331.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:51
"
                        Arwen Mesheken Apart Hotel(阿尔温梅塞肯公寓酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/180425.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:51
"
                        Hotel Los Ñires
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3638333.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:51
"
                        Apart Hotel Tierra Del Fuego
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2212979.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:52
"
                        Apart Hotel Alem
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1131693.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:52
"
                        Hostel Los Cormoranes
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1202815.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:53
"
                        Catalinas Park Hotel(卡特琳娜公园酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/755450.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:53
"
                        Cumbres Del Martial
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2110113.html,http://hotels.ctrip.com/international/ushuaia3400,2016-01-12 13:33:53
"
                        Hotel Francia(弗朗西亚酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/755448.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:53
"
                        Sheraton Tucumán Hotel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/589207.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:54
"
                        Suites Garden Park Hotel & Eventos(花园套房活动酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3458957.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:54
"
                        Hotel Bicentenario Suites & Spa(二百年套房水疗酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3910849.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:55
"
                        Amérian Tucuman Apart & Suite(图库玛亚美利安公寓套房酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/4060975.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:55
"
                        San Lorenzo Apartment
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2112354.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:56
"
                        Hotel del Sol
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/681729.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:56
"
                        La Pérgola Hotel Tucumán(派格拉图库曼酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1314305.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:57
"
                        Hotel República(共和酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/302187.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:57
"
                        Tucuman Temporario
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2979223.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:58
"
                        Tucuman Center Suites&Business(图库曼中心商务套房酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/302183.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:58
"
                        Hotel Miami
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/950882.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:58
"
                        Lorenzo Suites(洛伦佐套房酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/589270.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:59
"
                        Hotel Portal del Norte
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/230676.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:59
"
                        Hotel Presidente
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/302186.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:33:59
"
                        Carpe Diem(卡尔佩戴姆旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1553071.html,http://hotels.ctrip.com/international/sanmiguel36542,2016-01-12 13:34:00
